by,descendants,id,kids,score,time,title,type,url,text
saisrirampur,39.0,40276768,"[40279867, 40278248, 40279272, 40282531, 40283790, 40281835, 40280846, 40279001, 40277854, 40282105, 40276783]",168,1715014842,"Show HN: Peerdb Streams – Simple, native Postgres change data capture",story,,"Hello HN, I am Sai Srirampur, one of the Co-founders of PeerDB. (<a href=""https:&#x2F;&#x2F;github.com&#x2F;PeerDB-io&#x2F;peerdb"">https:&#x2F;&#x2F;github.com&#x2F;PeerDB-io&#x2F;peerdb</a>). We spent the past 7 months building a solid experience to replicate data from Postgres to data warehouses. Now we&#x27;re expanding to queues.<p>PeerDB Streams provides a simple and native way to replicate changes as they happen in Postgres to Queues (Kafka, Redpanda, Google PubSub, etc). We use Postgres logical decoding to enable Change Data Capture (CDC).<p>Blog post here: <a href=""https:&#x2F;&#x2F;blog.peerdb.io&#x2F;peerdb-streams-simple-native-postgres-change-data-capture"">https:&#x2F;&#x2F;blog.peerdb.io&#x2F;peerdb-streams-simple-native-postgres...</a>. 10-min quickstart here: <a href=""https:&#x2F;&#x2F;docs.peerdb.io&#x2F;quickstart&#x2F;streams-quickstart"">https:&#x2F;&#x2F;docs.peerdb.io&#x2F;quickstart&#x2F;streams-quickstart</a>.<p>We chose queues as many users found that existing tools are complex. Debezium is the most used tool for this use-case. It has large production usage. However, a common pain point among our users is that it has a significant learning curve taking months to productionize.<p>A few issues are: a) Interacting through a command line interface, understanding the various settings, and learning best practices for running it in production is not trivial. Debezium UI, released to address usability concerns [1], is still in an incubating state [2]. Additionally, reading Debezium resources to get started can be overwhelming [3]. 
b) Supporting data formats and transformations isn’t easy. It needs a Java project, building JAR packages and setting up a runtime path on the kafka connect plugin. c)Debezium is not as native as Kafka for other queues and doesn’t offer the same level of configurability. For example, with Event Hubs, it is difficult to stream to topics spread across namespaces and subscriptions.<p>TL;DR Debezium aims to provide a comprehensive experience for engineers to implement CDC rather than making it dead simple for them. So you can do a lot with Debezium but need to know a lot about it.<p>At PeerDB, we are building a simple yet comprehensive experience for Postgres CDC. The goal is to enable engineers to build prod-grade Postgres CDC with a minimal learning curve, within a few days.<p>PeerDB’s feature-set isn&#x27;t at Debezium&#x27;s level yet, and as we evolve, we might face similar challenges. However, we&#x27;re putting usability at the forefront and we believe that we can achieve the above goal.<p>First, PeerDB offers a simple UI to set up Postgres and Kafka by creating PEERs and initiating CDC by creating a MIRROR. Through the UI, users can monitor the progress of CDC, including throughput and latency; set up alerts to Slack&#x2F;Email based on replication slot growth; investigate Postgres-native metrics, including slot size, etc. Here is a demo showing of PeerDB UI in action:<p><a href=""https:&#x2F;&#x2F;www.loom.com&#x2F;share&#x2F;ebcfb7646a1e48738835853b760e5d04"" rel=""nofollow"">https:&#x2F;&#x2F;www.loom.com&#x2F;share&#x2F;ebcfb7646a1e48738835853b760e5d04</a><p>Second, for users who prefer a CLI, we provide a Postgres-compatible SQL layer to manage CDC. This offers the same level of features as the UI and is more intuitive compared to bash scripts.<p>Third, users can perform row-level transformations using Lua scripts executed at runtime. This enables features such as encrypting&#x2F;masking PII data, supporting various data formats (JSON, MsgPack, Protobuf, etc.), and more. We offer a script editor along with a bunch of useful templates [5].<p>Fourth, we provide native connectors to non-Kafka targets. We also provide native configurability options tailored to these platforms. For example, with Event Hubs, users can perform CDC to topics distributed across different namespaces and subscriptions [4].<p>Finally, We are laser focused on Postgres, enabling specific optimizations like native metrics for replication, wait-events, and # of connections. Features like faster initial loads through parallel snapshotting and decoding transactions in-flight are in private beta.<p>Our hope is to provide the best data-movement experience for Postgres. PeerDB Streams is another step in that direction. We would love to get your feedback on product experience, our thesis and anything else that comes to your mind. It would be super useful for us. Thank you!<p>References:<p>[1] <a href=""https:&#x2F;&#x2F;debezium.io&#x2F;blog&#x2F;2020&#x2F;10&#x2F;22&#x2F;towards-debezium-ui&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;debezium.io&#x2F;blog&#x2F;2020&#x2F;10&#x2F;22&#x2F;towards-debezium-ui&#x2F;</a>
[2] <a href=""https:&#x2F;&#x2F;debezium.io&#x2F;documentation&#x2F;reference&#x2F;stable&#x2F;operations&#x2F;debezium-ui.html"" rel=""nofollow"">https:&#x2F;&#x2F;debezium.io&#x2F;documentation&#x2F;reference&#x2F;stable&#x2F;operation...</a>
[3] <a href=""https:&#x2F;&#x2F;medium.com&#x2F;@cooper.wolfe&#x2F;i-hated-debezium-so-much-i-did-it-myself-b43b0efc20a9"" rel=""nofollow"">https:&#x2F;&#x2F;medium.com&#x2F;@cooper.wolfe&#x2F;i-hated-debezium-so-much-i-...</a>
[4] <a href=""https:&#x2F;&#x2F;blog.peerdb.io&#x2F;enterprise-grade-replication-from-postgres-to-azure-event-hubs"">https:&#x2F;&#x2F;blog.peerdb.io&#x2F;enterprise-grade-replication-from-pos...</a>
[5] <a href=""https:&#x2F;&#x2F;github.com&#x2F;PeerDB-io&#x2F;examples"">https:&#x2F;&#x2F;github.com&#x2F;PeerDB-io&#x2F;examples</a>
[5] <a href=""https:&#x2F;&#x2F;app.peerdb.cloud"" rel=""nofollow"">https:&#x2F;&#x2F;app.peerdb.cloud</a>
[6] <a href=""https:&#x2F;&#x2F;github.com&#x2F;PeerDB-io&#x2F;PeerDB"">https:&#x2F;&#x2F;github.com&#x2F;PeerDB-io&#x2F;PeerDB</a>"
nequo,0.0,40292317,,9,1715121240,Rust Design Patterns,story,https://rust-unofficial.github.io/patterns/intro.html,
geox,10.0,40280161,"[40284428, 40282205, 40283821, 40282401, 40281889, 40281961, 40284034, 40283499, 40282064]",48,1715033962,How do birds flock? Research reveals previously unknown aerodynamic phenomenon,story,https://www.nyu.edu/about/news-publications/news/2024/april/how-do-birds-flock--researchers-do-the-math-to-reveal-previously.html,
gulced,230.0,40280689,"[40283931, 40281474, 40281795, 40281447, 40281467, 40281453, 40284553, 40283868, 40281629, 40283049, 40282254, 40282834, 40293892, 40281222, 40283733, 40281212, 40283518, 40282128, 40286982, 40283920, 40285475, 40283672, 40285153, 40283578, 40286450, 40283368, 40284490, 40281452, 40284602, 40282014, 40284064, 40283665, 40283163, 40284960, 40281917, 40283170]",371,1715038498,Proton Mail discloses user data leading to arrest in Spain,story,https://restoreprivacy.com/protonmail-discloses-user-data-leading-to-arrest-in-spain/,
fortran77,13.0,40287035,"[40287267, 40287564, 40287568, 40287379]",15,1715096227,Conjoined twins who refused to be 'fixed',story,https://www.theatlantic.com/health/archive/2024/05/schappell-twins-conjoined-disabled-transgender/678316/,
LeoPanthera,62.0,40279305,"[40280733, 40280409, 40282340, 40279809, 40281166, 40281185, 40281911, 40280469, 40280956, 40282123, 40283761, 40279734, 40282640, 40280775, 40279929, 40280529, 40280792]",183,1715028357,TOTP Authenticator for PalmOS,story,https://www.nkorth.com/palm/apps/#totp-authenticator,
goldenskye,28.0,40262543,"[40276222, 40273256, 40275104, 40276946, 40272834, 40283302]",110,1714887771,"With PowerPC, Windows CE and the WiiN-Pad Slate, Everyone's a WiiN-Er",story,http://oldvcr.blogspot.com/2024/05/with-powerpc-windows-ce-and-wiin-pad.html,
twelvenmonkeys,6.0,40284839,"[40291725, 40289908, 40293012, 40290474]",53,1715086089,Podman Desktop 1.10: 1M downloads and counting,story,https://podman-desktop.io/blog/podman-desktop-release-1.10,
PaulHoule,38.0,40280875,"[40281754, 40281148, 40281190, 40281151, 40283480, 40281692, 40282120]",72,1715040104,Faster XML Stream Processing in Go (2019),story,https://eli.thegreenplace.net/2019/faster-xml-stream-processing-in-go/,
pst723,104.0,40279499,"[40280378, 40280585, 40279500, 40280335, 40283824, 40281377, 40281295, 40283783, 40284293, 40281209, 40280719, 40281891, 40282734, 40284139, 40280813, 40282896, 40285518, 40281441, 40282456, 40280954, 40284493, 40281998, 40281130, 40282904, 40281817, 40283912, 40280782, 40280700, 40280703, 40282485, 40280564, 40281036, 40285465, 40285581, 40281943, 40284698, 40282319, 40283071]",201,1715029434,An infinite canvas for code exploration,story,https://territory.dev,
